Comment,Designator,Footprint,JLCPCB Part #
330,R8,R_0402_1005Metric,C25104
1uF,"C1,C10",C_0402_1005Metric,C52923
MCP1700x-330xxTT,U2,SOT-23,C39051
33pF,"C15,C16",C_0402_1005Metric,C1562
1K,"R6,R5",R_0402_1005Metric,C11702
5.1K,"R1,R2",R_0402_1005Metric,C25905
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
10uF,"C14,C13",C_0603_1608Metric,C19702
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
0.1uF,"C17,C7,C8,C2,C12,C9,C11,C5,C3,C4,C6,C18",C_0402_1005Metric,C1525
W25Q16JVZPIQTR,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335
10K,R7,R_0402_1005Metric,C25744
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
27,"R3,R4",R_0402_1005Metric,C25100
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477
